1493969101.638 | https | player.vimeo.com | POST | 200 | 149399101591904,149396911639670, | IAD |  | 10.10.3.53 | 0.006
1493969101.638 | https | vimeo.com | POST | 200 | 149396910159904,149396910163967, | IAD |  | 10.10.3.52 | 0.006
1493969101.639 | https | player.vimeo.com | GET | 500 | 149396101592060,149396910168753, | IAD |  | 10.13.4.52 | 0.007
1493969101.639 | https | player.vimeo.com | POST | 200 | 149399101540526,149396910137334, | IAD |  | 10.10.3.1 | 0.003
1493969101.639 | https | vimeo.com | POST | 200 | 149396910159904,149396910163960, | IAD |  | 10.13.4.52 | 0.006
1493969101.639 | https | player.vimeo.com | GET | 500 | 149396101549698,149396910164458, | IAD |  | 10.10.3.53 | 0.007
1493969101.640 | https | player.vimeo.com | GET | 500 | 149396101530544,149396910145293, | IAD |  | 10.13.4.52 | 0.005
1493969101.640 | https | player.vimeo.com | POST | 200 | 149399101573491,149396910645813, | IAD |  | 10.20.5.2 | 0.004
1493969101.641 | https | vimeo.com | GET | 200 | 149396910155007,1493969101589112, | IAD |  | 10.20.5.1 | 0.054
1493969101.642 | https | player.vimeo.com | GET | 200 | 149396101540734,149396910168192, | IAD |  | 10.10.3.1 | 0.005
1493969101.642 | https | player.vimeo.com | POST | 200 | 149399101594772,149396910140014, | IAD |  | 10.20.5.2 | 0.002
1493969101.643 | https | player.vimeo.com | POST | 200 | 149399101591904,149396911639670, | IAD |  | 10.10.3.53 | 0.006
1493969101.644 | https | vimeo.com | POST | 200 | 149396910159904,149396910163967, | IAD |  | 10.10.3.52 | 0.006
1493969101.645 | https | player.vimeo.com | GET | 500 | 149396101592060,149396910168753, | IAD |  | 10.13.4.52 | 0.007
1493969101.645 | https | player.vimeo.com | POST | 200 | 149399101540526,149396910137334, | IAD |  | 10.10.3.1 | 0.003
1493969101.645 | https | vimeo.com | POST | 200 | 149396910159904,149396910163960, | IAD |  | 10.13.4.52 | 0.006
1493969101.646 | https | player.vimeo.com | GET | 500 | 149396101549698,149396910164458, | IAD |  | 10.10.3.53 | 0.007
1493969101.647 | https | player.vimeo.com | GET | 500 | 149396101530544,149396910145293, | IAD |  | 10.13.4.52 | 0.005
1493969101.648 | https | player.vimeo.com | POST | 200 | 149399101591797,149396101644322, | IAD |  | 10.10.3.21 | 0.003
1493969101.648 | https | player.vimeo.com | POST | 200 | 149399101573491,149396910645813, | IAD |  | 10.20.5.2 | 0.004
1493969101.649 | https | player.vimeo.com | GET | 200 | 149396101541280,149369101581555, | IAD |  | 10.20.5.2 | 0.065
1493969101.650 | http | vimeo.com | GET | 501 | 149396910160149,149369101646980, | IAD |  | 10.20.5.1 | 0.001
1493969101.651 | https | player.vimeo.com | GET | 200 | 149396101592060,149396910168753, | IAD |  | 10.13.4.52 | 0.007
1493969101.651 | https | vimeo.com | POST | 200 | 149396910159904,149396910163960, | IAD |  | 10.13.4.52 | 0.006
1493969101.652 | https | player.vimeo.com | GET | 200 | 149396101549698,149396910164458, | IAD |  | 10.10.3.53 | 0.007
1493969101.652 | https | player.vimeo.com | POST | 200 | 149399101540526,149396910137334, | IAD |  | 10.10.3.1 | 0.003
1493969101.654 | https | player.vimeo.com | GET | 500 | 149396101530544,149396910145293, | IAD |  | 10.13.4.52 | 0.005
1493969101.654 | https | player.vimeo.com | GET | 200 | 149396101549698,149396910164458, | IAD |  | 10.10.3.53 | 0.007
1493969101.655 | https | player.vimeo.com | POST | 200 | 149399101540526,149396910137334, | IAD |  | 10.10.3.1 | 0.003
1493969101.655 | https | player.vimeo.com | POST | 200 | 149399101573491,149396910645813, | IAD |  | 10.20.5.2 | 0.004
1493969101.655 | https | player.vimeo.com | POST | 501 | 149399101591797,149396101644322, | IAD |  | 10.10.3.21 | 0.003
1493969101.666 | https | vimeo.com | POST | 500 | 149396910159904,149396910163960, | IAD |  | 10.13.4.52 | 0.006
1493969101.666 | https | vimeo.com | POST | 500 | 149396910159904,149396910163960, | IAD |  | 10.13.4.52 | 0.006
1493969101.667 | https | vimeo.com | POST | 500 | 149396910159904,149396910163960, | IAD |  | 10.13.4.52 | 0.006
